7zip 26.01-1
qbittorrent 5.2.0-1
qt5-graphicaleffects 5.15.18-1
qt5-imageformats 5.15.18+kde+r2-1
qt5-multimedia 5.15.18+kde+r2-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt6-multimedia-ffmpeg 6.11.1-1
qt6ct 0.11-6
quickshell-git 0.3.0.r3.g7d1c9a9-1
qutebrowser 3.7.0-1
ranger 1.9.4-5
rate-mirrors 0.28.3-1
retroarch 1.22.2-1
ripgrep 15.1.0-2
rofi 2.0.0-1
rsync 3.4.2-1
ryujinx 1.3.3-2
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sed 4.10-1
shadow 4.18.0-1
slurp 1.5.0-2
snapper-support 1.1.2-3
snapper-tools 1.3.2-1
sof-firmware 2025.12.2-1
sshfs 3.7.5-1
steam 1.0.0.85-6
sudo 1.9.17.p2-2
supertux 0.7.0-1
supertuxkart 1.5-1
swappy 1.8.0-1
swaync 0.12.6-1
swaync-widgets-git r27.895f5b9-1
systemd 260.1-2
systemd-sysvcompat 260.1-2
tar 1.35-2
telegram-desktop 6.8.2-3
terminus-font 4.49.1-8
thunar 4.20.8-3
traceroute 2.1.6-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-fantasque-sans-mono 1.8.0-3
ttf-fira-sans 1:4.301-3
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-opensans 3.003-1
ttf-ubuntu-font-family 1:0.83-2
ufw 0.36.2-7
ugrep 7.8.1-1
unace 2.5-11
unarchiver 1.10.8-6
unarj 2.65-2
unrar 1:7.2.6-1
unzip 6.0-23
update-grub 0.0.1-8.1
usbutils 019-1
util-linux 2.42-1
uwsm 0.26.4-1
vlc 3.0.22-4
waybar 0.15.0-2
waybar-module-pacman-updates-git 0.2.13-1
waydroid 1.6.2-1
wayland 1.25.0-1
wayland-protocols-git 1.48.r17.gc364bf6-1
wdisplays 1.1.3-2
wget 1.25.0-4
which 2.23-1
whois 5.6.6-1
winbox 4.1-1
wine-gecko 2.47.4-2
wine-mono 11.1.0-1
winetricks 20260125-2
wireless-regdb 2026.03.18-1
wireless_tools 30.pre9-5
wireplumber 0.5.14-1
wlr-randr-git 0.4.1+11+g3eac217-1
wofi 1.5.3-1
wpaperd 1.2.2-1
wpgtk 6.7.1-6
wqy-zenhei 0.9.45-10
wtype 0.4-2
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-hyprland 1.3.12-2
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xfce4-terminal 1.2.0-1
xfsprogs 7.0.0-1
xorg-xhost 1.0.10-1
xorg-xwayland 24.1.11-2
xsel 1.2.1-2
xsettingsd 1.0.2-3
xz 5.8.3-1
yay 12.5.7-1
zathura-pywal-git r27.5ba976a-1
zip 3.0-13
